No.,name,height,weight,age,salary
1,Alice,165,60,28,273000
2,Bob,175,82,30,112000
3,Charlie,168,75,29,257000
4,David,180,90,30,188000
5,Eve,158,55,25,52000
6,Frank,172,78,27,300000
7,Grace,162,58,27,135000
8,Hannah,170,70,30,211000
9,Ian,177,85,28,178000
10,Jane,160,54,26,65000
11,Kevin,182,92,30,295000
12,Lisa,167,65,30,121000
13,Mike,174,80,29,230000
14,Nina,163,59,28,196000
15,Oscar,178,88,29,80000
16,Paula,159,56,25,265000
17,Quinn,171,72,30,175000
18,Rachel,166,62,29,90000
19,Sam,176,84,27,285000
20,Tina,161,53,27,60000
21,Uma,169,68,30,151000
22,Vincent,181,91,30,299000
23,Wendy,164,61,28,123000
24,Xander,173,79,26,210000
25,Yara,157,52,24,50000
26,Zane,179,87,30,290000
27,Olivia,168,66,30,201000
28,Peter,175,81,29,176000 
